timestamp,open,high,low,close,volume
2019-03-08,109.16,110.71,108.8,110.51,22799555
2019-03-07,111.4,111.55,109.865,110.39,25338954
2019-03-06,111.87,112.66,111.43,111.75,17686996
2019-03-05,112.25,112.39,111.23,111.7,19538318
2019-03-04,113.02,113.25,110.8,112.26,26608014
2019-03-01,112.89,113.02,111.665,112.53,23501169
2019-02-28,112.04,112.88,111.73,112.03,29083934
2019-02-27,111.69,112.36,110.88,112.17,21487062
2019-02-26,111.26,113.24,111.17,112.36,21536733
2019-02-25,111.76,112.18,111.26,111.59,23750599
2019-02-22,110.05,111.2,109.82,110.97,27763218
2019-02-21,106.9,109.48,106.87,109.41,29063231
2019-02-20,107.86,107.94,106.29,107.15,21607671
2019-02-19,107.79,108.66,107.78,108.17,18038460
2019-02-15,107.91,108.3,107.3624,108.22,26606886
2019-02-14,106.31,107.29,105.66,106.9,21784703
2019-02-13,107.5,107.78,106.71,106.81,18394869
2019-02-12,106.14,107.14,105.48,106.89,25056595
2019-02-11,106.2,106.58,104.965,105.25,18914123
2019-02-08,104.39,105.78,104.2603,105.67,21461093
2019-02-07,105.185,105.59,104.29,105.27,29760697
2019-02-06,107.0,107.0,105.53,106.03,20609759
2019-02-05,106.06,107.27,105.96,107.22,27325365
2019-02-04,102.87,105.8,102.77,105.74,31315282
2019-02-01,103.775,104.0999,102.35,102.78,35535690
2019-01-31,103.8,105.22,103.18,104.43,55636391
2019-01-30,104.62,106.38,104.33,106.38,49471866
2019-01-29,104.88,104.97,102.17,102.94,31490547
2019-01-28,106.26,106.48,104.66,105.08,29476719
2019-01-25,107.24,107.88,106.59,107.17,31218193
2019-01-24,106.86,107.0,105.34,106.2,23164838
2019-01-23,106.12,107.04,105.34,106.71,25874294
2019-01-22,106.75,107.1,104.86,105.68,32371253
2019-01-18,107.46,107.9,105.91,107.71,37427587
2019-01-17,105.0,106.625,104.76,106.12,28393015
2019-01-16,105.26,106.255,104.96,105.38,29853865
2019-01-15,102.51,105.05,101.88,105.01,31587616
2019-01-14,101.9,102.8716,101.26,102.05,28437079
2019-01-11,103.19,103.44,101.64,102.8,28314202
2019-01-10,103.22,103.75,102.38,103.6,30067556
2019-01-09,103.86,104.88,103.2445,104.27,32280840
2019-01-08,103.04,103.97,101.7134,102.8,31514415
2019-01-07,101.64,103.2681,100.98,102.06,35656136
2019-01-04,99.72,102.51,98.93,101.93,44060620
2019-01-03,100.1,100.185,97.2,97.4,42578410
2019-01-02,99.55,101.75,98.94,101.12,35329345
2018-12-31,101.29,102.4,100.44,101.57,33173765
2018-12-28,102.09,102.41,99.52,100.39,38169312
2018-12-27,99.3,101.19,96.4,101.18,49498509
2018-12-26,95.14,100.69,93.96,100.56,51634793
2018-12-24,97.68,97.97,93.98,94.13,43935192
2018-12-21,101.63,103.0,97.46,98.23,111242070
2018-12-20,103.05,104.31,98.78,101.51,70334184
2018-12-19,103.65,106.88,101.35,103.69,68198186
2018-12-18,103.75,104.51,102.52,103.97,49319196
2018-12-17,105.41,105.8,101.71,102.89,56957314
2018-12-14,108.25,109.26,105.5,106.03,47043136
2018-12-13,109.58,110.87,108.63,109.45,31333362
2018-12-12,110.89,111.27,109.04,109.08,36183020
2018-12-11,109.8,110.95,107.44,108.59,42381947
2018-12-10,104.8,107.98,103.89,107.59,40801525
2018-12-07,108.38,109.45,104.3,104.82,45044937
2018-12-06,105.82,109.24,105.0,109.19,49107431
2018-12-04,111.94,112.6373,108.2115,108.52,45196984
2018-12-03,113.0,113.42,110.73,112.09,34732772
2018-11-30,110.7,110.97,109.36,110.89,33665624
2018-11-29,110.33,111.115,109.03,110.19,28123195
2018-11-28,107.89,111.33,107.86,111.12,46788461
2018-11-27,106.27,107.33,105.36,107.14,29124486
2018-11-26,104.79,106.63,104.58,106.47,32336165
2018-11-23,102.17,103.8099,102.0,103.07,13823099
2018-11-21,103.6,104.43,102.24,103.11,28130621
2018-11-20,101.8,102.97,99.3528,101.71,64052457
2018-11-19,108.27,108.56,103.55,104.62,44773899
2018-11-16,107.08,108.88,106.8,108.29,33502121
2018-11-15,104.99,107.8,103.91,107.28,38505165
2018-11-14,108.1,108.26,104.47,104.97,39495141
2018-11-13,107.55,108.74,106.64,106.94,35374583
2018-11-12,109.42,109.96,106.1,106.87,33621807
2018-11-09,110.85,111.45,108.76,109.57,32039223
2018-11-08,111.8,112.21,110.91,111.75,25644105
2018-11-07,109.44,112.24,109.4,111.96,37901704
2018-11-06,107.38,108.84,106.28,107.72,24340248
2018-11-05,106.37,107.74,105.9,107.51,27922144
2018-11-02,106.48,107.32,104.975,106.16,37680194
2018-11-01,107.05,107.32,105.53,105.92,33384201
2018-10-31,105.435,108.14,105.39,106.81,51062383
2018-10-30,103.66,104.38,100.11,103.73,65350878
2018-10-29,108.105,108.7,101.63,103.85,55162001
2018-10-26,105.69,108.75,104.76,106.96,55523104
2018-10-25,106.55,109.27,106.15,108.3,61646819
2018-10-24,108.41,108.49,101.5901,102.32,63897759
2018-10-23,107.77,108.97,105.11,108.1,43770429
2018-10-22,109.32,110.54,108.24,109.63,26545607
2018-10-19,108.93,110.86,108.21,108.66,32785475
2018-10-18,110.1,110.53,107.83,108.5,32506192
2018-10-17,111.68,111.81,109.5482,110.71,26548243
2018-10-16,109.54,111.41,108.95,111.0,31610164
2018-10-15,108.91,109.48,106.9468,107.6,32068103
2018-10-12,109.01,111.24,107.12,109.57,47742109
